Ticker,Company,Ind
BBIO,"BridgeBio Pharma, Inc.",RUSSEL 2000
BBSI,BARRETT BUSINESS SERVICES INC,RUSSEL 2000
BBUC,Brookfield Business Corp,RUSSEL 2000
BBW,BUILD-A-BEAR WORKSHOP INC,RUSSEL 2000
BCAB,"BioAtla, Inc.",RUSSEL 2000
BCBP,BCB BANCORP INC,RUSSEL 2000
BCC,BOISE CASCADE Co,RUSSEL 2000
BCML,BayCom Corp,RUSSEL 2000
BCO,BRINKS CO,RUSSEL 2000
BCOV,BRIGHTCOVE INC,RUSSEL 2000
BCPC,BALCHEM CORP,RUSSEL 2000
BCRX,BIOCRYST PHARMACEUTICALS INC,RUSSEL 2000
BDC,BELDEN INC.,RUSSEL 2000
BDN,BRANDYWINE REALTY TRUST,RUSSEL 2000
BE,Bloom Energy Corp,RUSSEL 2000
BEAM,Beam Therapeutics Inc.,RUSSEL 2000
BECN,BEACON ROOFING SUPPLY INC,RUSSEL 2000
BELFB,BEL FUSE INC /NJ,RUSSEL 2000
BFC,Bank First Corp,RUSSEL 2000
BFH,"BREAD FINANCIAL HOLDINGS, INC.",RUSSEL 2000
BFLY,"Butterfly Network, Inc.",RUSSEL 2000
BFS,"SAUL CENTERS, INC.",RUSSEL 2000
BFST,"Business First Bancshares, Inc.",RUSSEL 2000
BGC,"BGC Group, Inc.",RUSSEL 2000
BGFV,BIG 5 SPORTING GOODS Corp,RUSSEL 2000
BGS,"B&G Foods, Inc.",RUSSEL 2000
BGXX,Bright Green Corp,RUSSEL 2000
BH,Biglari Holdings Inc.,RUSSEL 2000
BHB,BAR HARBOR BANKSHARES,RUSSEL 2000
BHE,BENCHMARK ELECTRONICS INC,RUSSEL 2000
BHIL,"Benson Hill, Inc.",RUSSEL 2000
BHLB,BERKSHIRE HILLS BANCORP INC,RUSSEL 2000
BHR,Braemar Hotels & Resorts Inc.,RUSSEL 2000
BHRB,Burke & Herbert Financial Services Corp.,RUSSEL 2000
BHVN,Biohaven Ltd.,RUSSEL 2000
BIG,BIG LOTS INC,RUSSEL 2000
BIGC,"BigCommerce Holdings, Inc.",RUSSEL 2000
BIPC,Brookfield Infrastructure Corp,RUSSEL 2000
BIRD,"Allbirds, Inc.",RUSSEL 2000
BJRI,BJs RESTAURANTS INC,RUSSEL 2000
BKD,Brookdale Senior Living Inc.,RUSSEL 2000
BKE,BUCKLE INC,RUSSEL 2000
BKH,BLACK HILLS CORP /SD/,RUSSEL 2000
BKKT,"Bakkt Holdings, Inc.",RUSSEL 2000
BKSY,BlackSky Technology Inc.,RUSSEL 2000
BKU,"BankUnited, Inc.",RUSSEL 2000
BL,"BLACKLINE, INC.",RUSSEL 2000
BLBD,Blue Bird Corp,RUSSEL 2000
BLDE,"Blade Air Mobility, Inc.",RUSSEL 2000
BLFS,BIOLIFE SOLUTIONS INC,RUSSEL 2000
BLFY,Blue Foundry Bancorp,RUSSEL 2000
BLKB,BLACKBAUD INC,RUSSEL 2000
BLMN,"Bloomin' Brands, Inc.",RUSSEL 2000
BLNK,Blink Charging Co.,RUSSEL 2000
BLUE,"bluebird bio, Inc.",RUSSEL 2000
BLX,"FOREIGN TRADE BANK OF LATIN AMERICA, INC.",RUSSEL 2000
BMBL,Bumble Inc.,RUSSEL 2000
BMEA,"Biomea Fusion, Inc.",RUSSEL 2000
BMI,BADGER METER INC,RUSSEL 2000
BMRC,Bank of Marin Bancorp,RUSSEL 2000
BNL,"Broadstone Net Lease, Inc.",RUSSEL 2000
BOC,BOSTON OMAHA Corp,RUSSEL 2000
